title,href
七星鲁王 第一章 血尸,http://seputu.com/biji1/1.html
七星鲁王 第二章 五十年后,http://seputu.com/biji1/2.html
七星鲁王 第三章 瓜子庙,http://seputu.com/biji1/3.html
七星鲁王 第四章 尸洞,http://seputu.com/biji1/4.html
七星鲁王 第五章 水影,http://seputu.com/biji1/5.html
七星鲁王 第六章 积尸地,http://seputu.com/biji1/6.html
七星鲁王 第七章 一百多个人头,http://seputu.com/biji1/7.html
七星鲁王 第八章 山谷,http://seputu.com/biji1/8.html
七星鲁王 第九章 古墓,http://seputu.com/biji1/9.html
七星鲁王 第十章 影子,http://seputu.com/biji1/10.html
七星鲁王 第十一章 七星棺,http://seputu.com/biji1/11.html
七星鲁王 第十二章 门,http://seputu.com/biji1/12.html
七星鲁王 第十三章 02200059,http://seputu.com/biji1/13.html
七星鲁王 第十四章 闷油瓶,http://seputu.com/biji1/14.html
七星鲁王 第十五章 屁,http://seputu.com/biji1/15.html
七星鲁王 第十六章 小手,http://seputu.com/biji1/16.html
七星鲁王 第十七章 洞,http://seputu.com/biji1/17.html
七星鲁王 第十八章 大树,http://seputu.com/biji1/18.html
七星鲁王 第十九章 女尸,http://seputu.com/biji1/19.html
七星鲁王 第二十章 钥匙,http://seputu.com/biji1/20.html
七星鲁王 第二十一章 青眼狐尸,http://seputu.com/biji1/21.html
七星鲁王 第二十二章 八重宝函,http://seputu.com/biji1/22.html
七星鲁王 第二十三章 棺椁,http://seputu.com/biji1/23.html
七星鲁王 第二十四章 活尸,http://seputu.com/biji1/24.html
七星鲁王 第二十五章 玉俑,http://seputu.com/biji1/25.html
七星鲁王 第二十六章 紫玉匣子,http://seputu.com/biji1/26.html
七星鲁王 第二十七章 谎言,http://seputu.com/biji1/27.html
七星鲁王 第二十八章 火,http://seputu.com/biji1/28.html
七星鲁王 第二十九章 紫金匣,http://seputu.com/biji1/29.html
怒海潜沙 第一章 蛇眉铜鱼,http://seputu.com/biji1/30.html
怒海潜沙 第二章 双层墓墙,http://seputu.com/biji1/31.html
怒海潜沙 第三章 大风暴,http://seputu.com/biji1/32.html
怒海潜沙 第四章 海鬼,http://seputu.com/biji1/33.html
怒海潜沙 第五章 老照片,http://seputu.com/biji1/34.html
怒海潜沙 第六章 海南,http://seputu.com/biji1/35.html
怒海潜沙 第七章 女人,http://seputu.com/biji1/36.html
怒海潜沙 第八章 变天了,http://seputu.com/biji1/37.html
怒海潜沙 第九章 鬼船,http://seputu.com/biji1/38.html
怒海潜沙 第十章 枯手,http://seputu.com/biji1/39.html
怒海潜沙 第十一章 甲板,http://seputu.com/biji1/40.html
怒海潜沙 第十二章 三叔的谎言,http://seputu.com/biji1/41.html
怒海潜沙 第十三章 海猴子,http://seputu.com/biji1/42.html
怒海潜沙 第十四章 永兴岛,http://seputu.com/biji1/43.html
怒海潜沙 第十五章 胖子,http://seputu.com/biji1/44.html
怒海潜沙 第十六章 开会,http://seputu.com/biji1/45.html
怒海潜沙 第十七章 头发,http://seputu.com/biji1/46.html
怒海潜沙 第十八章 大量头发,http://seputu.com/biji1/47.html
怒海潜沙 第十九章 大瓷罐,http://seputu.com/biji1/48.html
怒海潜沙 第二十章 甬道,http://seputu.com/biji1/49.html
怒海潜沙 第二十一章 箭,http://seputu.com/biji1/50.html
怒海潜沙 第二十二章 第一次解迷,http://seputu.com/biji1/51.html
怒海潜沙 第二十三章 继续解迷,http://seputu.com/biji1/52.html
怒海潜沙 第二十四章 开棺,http://seputu.com/biji1/53.html
怒海潜沙 第二十五章 一个人,http://seputu.com/biji1/54.html
怒海潜沙 第二十六章 瓷画,http://seputu.com/biji1/55.html
怒海潜沙 第二十七章 无题,http://seputu.com/biji1/56.html
怒海潜沙 第二十八章 继续无题,http://seputu.com/biji1/57.html
怒海潜沙 第二十九章 石碑,http://seputu.com/biji1/58.html
怒海潜沙 第三十章 池底,http://seputu.com/biji1/59.html
怒海潜沙 第三十一章 二十年前,http://seputu.com/biji1/60.html
怒海潜沙 第三十二章 奇门遁甲,http://seputu.com/biji1/61.html
怒海潜沙 第三十三章 生门,http://seputu.com/biji1/62.html
怒海潜沙 第三十四章 连环,http://seputu.com/biji1/63.html
怒海潜沙 第三十五章 血字,http://seputu.com/biji1/64.html
怒海潜沙 第三十六章 脱困,http://seputu.com/biji1/65.html
怒海潜沙 第三十七章 盗洞,http://seputu.com/biji1/66.html
怒海潜沙 第三十八章 禁婆,http://seputu.com/biji1/67.html
怒海潜沙 第三十九章 混战,http://seputu.com/biji1/68.html
怒海潜沙 第四十章 墙洞,http://seputu.com/biji1/69.html
怒海潜沙 第四十一章 珊瑚树,http://seputu.com/biji1/70.html
怒海潜沙 第四十二章 困境,http://seputu.com/biji1/71.html
怒海潜沙 第四十三章 炸弹,http://seputu.com/biji1/72.html
怒海潜沙 第四十四章 脱皮,http://seputu.com/biji1/73.html
怒海潜沙 第四十五章 脱出,http://seputu.com/biji1/74.html
怒海潜沙 第四十六章 总结,http://seputu.com/biji1/75.html
秦岭神树篇 第一章 老痒出狱,http://seputu.com/biji2/76.html
秦岭神树篇 第二章 六角铃铛,http://seputu.com/biji2/77.html
秦岭神树篇 第三章 跟踪,http://seputu.com/biji2/78.html
秦岭神树篇 第四章 继续跟踪,http://seputu.com/biji2/79.html
秦岭神树篇 第五章 偷听,http://seputu.com/biji2/80.html
秦岭神树篇 第六章 挖掘,http://seputu.com/biji2/81.html
秦岭神树篇 第七章 夹子沟,http://seputu.com/biji2/82.html
秦岭神树篇 第八章 猴子,http://seputu.com/biji2/83.html
秦岭神树篇 第九章 石人,http://seputu.com/biji2/84.html
秦岭神树篇 第十章 哲罗鲑,http://seputu.com/biji2/85.html
秦岭神树篇 第十一章 人头,http://seputu.com/biji2/86.html
秦岭神树篇 第十二章 地下河,http://seputu.com/biji2/87.html
秦岭神树篇 第十三章 黄泉的瀑布,http://seputu.com/biji2/88.html
秦岭神树篇 第十四章 深潭,http://seputu.com/biji2/89.html
秦岭神树篇 第十五章 休息,http://seputu.com/biji2/90.html
秦岭神树篇 第十六章 爬,http://seputu.com/biji2/91.html
秦岭神树篇 第十七章 尸阵,http://seputu.com/biji2/92.html
秦岭神树篇 第十八章 鬼吹灯,http://seputu.com/biji2/93.html
秦岭神树篇 第十九章 骨头的故事,http://seputu.com/biji2/94.html
秦岭神树篇 第二十章 火龙阵,http://seputu.com/biji2/95.html
秦岭神树篇 第二十一章 秦岭神树,http://seputu.com/biji2/96.html
秦岭神树篇 第二十二章 继续爬,http://seputu.com/biji2/97.html
秦岭神树篇 第二十三章 裂痕,http://seputu.com/biji2/98.html
秦岭神树篇 第二十四章 摔死,http://seputu.com/biji2/99.html
秦岭神树篇 第二十五章 祭祀,http://seputu.com/biji2/100.html
秦岭神树篇 第二十六章 螭蛊,http://seputu.com/biji2/101.html
秦岭神树篇 第二十七章 凌空,http://seputu.com/biji2/102.html
秦岭神树篇 第二十八章 麒麟竭,http://seputu.com/biji2/103.html
秦岭神树篇 第二十九章 逼近,http://seputu.com/biji2/104.html
秦岭神树篇 第三十章 老套路,http://seputu.com/biji2/105.html
秦岭神树篇 第三十一章 鬼雾,http://seputu.com/biji2/106.html
秦岭神树篇 第三十二章 偷袭,http://seputu.com/biji2/107.html
秦岭神树篇 第三十三章 和解,http://seputu.com/biji2/108.html
秦岭神树篇 第三十四章 大胆假设，小心求证,http://seputu.com/biji2/109.html
秦岭神树篇 第三十五章 失控,http://seputu.com/biji2/110.html
秦岭神树篇 第三十六章 坍塌,http://seputu.com/biji2/111.html
秦岭神树篇 第三十七章 日记,http://seputu.com/biji2/112.html
秦岭神树篇 第三十八章 真像,http://seputu.com/biji2/113.html
秦岭神树篇 第三十九章 烛九阴,http://seputu.com/biji2/114.html
秦岭神树篇 第四十章 脱出,http://seputu.com/biji2/115.html
云顶天宫（上） 第一章 新的消息,http://seputu.com/biji2/116.html
云顶天宫（上） 第二章 二００七年第一炮,http://seputu.com/biji2/117.html
云顶天宫（上） 第三章 镜儿宫,http://seputu.com/biji2/118.html
云顶天宫（上） 第四章 多了一个,http://seputu.com/biji2/119.html
云顶天宫（上） 第五章 最初的迷题,http://seputu.com/biji2/120.html
云顶天宫（上） 第六章 简单答案,http://seputu.com/biji2/121.html
云顶天宫（上） 第七章 潘子,http://seputu.com/biji2/122.html
云顶天宫（上） 第八章 新的团伙,http://seputu.com/biji2/123.html
云顶天宫（上） 第九章 九龙抬尸,http://seputu.com/biji2/124.html
云顶天宫（上） 第十章 营山村,http://seputu.com/biji2/125.html
云顶天宫（上） 第十一章 困境,http://seputu.com/biji2/126.html
云顶天宫（上） 第十二章 百足龙,http://seputu.com/biji2/127.html
云顶天宫（上） 第十三章 缝隙（上）,http://seputu.com/biji2/128.html
云顶天宫（上） 第十四章 缝隙（下）,http://seputu.com/biji2/129.html
云顶天宫（上） 第十五章 双层壁画,http://seputu.com/biji2/130.html
云顶天宫（下） 第一章 五圣雪山,http://seputu.com/biji3/131.html
云顶天宫（下） 第二章 自杀行为,http://seputu.com/biji3/132.html
云顶天宫（下） 第三章 雪崩,http://seputu.com/biji3/133.html
云顶天宫（下） 第四章 昆仑胎,http://seputu.com/biji3/134.html
云顶天宫（下） 第五章 胎洞灵宫,http://seputu.com/biji3/135.html
云顶天宫（下） 第六章 灵宫大殿,http://seputu.com/biji3/136.html
云顶天宫（下） 第七章 博弈,http://seputu.com/biji3/137.html
云顶天宫（下） 第八章 骚动,http://seputu.com/biji3/138.html
云顶天宫（下） 第九章 墙串子,http://seputu.com/biji3/139.html
云顶天宫（下） 第十章 百足龙神,http://seputu.com/biji3/140.html
云顶天宫（下） 第十一章 夹层,http://seputu.com/biji3/141.html
云顶天宫（下） 第十二章 藏尸阁,http://seputu.com/biji3/142.html
蛇沼鬼城（上） 第九章 录像带,http://seputu.com/biji4/185.html
蛇沼鬼城（上） 第十章 裘德考,http://seputu.com/biji4/186.html
蛇沼鬼城（上） 第十一章 青铜的丹炉,http://seputu.com/biji4/187.html
蛇沼鬼城（上） 第十二章 星盘,http://seputu.com/biji4/188.html
蛇沼鬼城（上） 第十三章 西沙的真相,http://seputu.com/biji4/189.html
蛇沼鬼城（上） 第十四章 深海,http://seputu.com/biji4/190.html
蛇沼鬼城（上） 第十五章 浮尸,http://seputu.com/biji4/191.html
蛇沼鬼城（上） 第十六章 沉船,http://seputu.com/biji4/192.html
蛇沼鬼城（上） 第十七章 哨子棺,http://seputu.com/biji4/193.html
蛇沼鬼城（上） 第十八章 尿,http://seputu.com/biji4/194.html
蛇沼鬼城（上） 第十九章 机关,http://seputu.com/biji4/195.html
蛇沼鬼城（上） 第二十章 虫脑,http://seputu.com/biji4/196.html
蛇沼鬼城（下） 第一章 追击,http://seputu.com/biji5/252.html
蛇沼鬼城（下） 第二章 消失了,http://seputu.com/biji5/253.html
蛇沼鬼城（下） 第三章 信号烟,http://seputu.com/biji5/254.html
蛇沼鬼城（下） 第四章 无声的山谷,http://seputu.com/biji5/255.html
蛇沼鬼城（下） 第五章 石像,http://seputu.com/biji5/256.html
蛇沼鬼城（下） 第六章 石像的朝向,http://seputu.com/biji5/257.html
蛇沼鬼城（下） 第七章 破裂,http://seputu.com/biji5/258.html
蛇沼鬼城（下） 第八章 第一夜：大雾,http://seputu.com/biji5/259.html
蛇沼鬼城（下） 第九章 第一夜：手链,http://seputu.com/biji5/260.html
蛇沼鬼城（下） 第十章 第一夜：丛林鬼声,http://seputu.com/biji5/261.html
蛇沼鬼城（下） 第十一章 第一夜：逼近,http://seputu.com/biji5/262.html
蛇沼鬼城（下） 第十二章 第一夜：偷袭,http://seputu.com/biji5/263.html
阴山古楼 第一章 起源,http://seputu.com/biji6/326.html
阴山古楼 第二章 古怪的村子,http://seputu.com/biji6/327.html
阴山古楼 第三章 火灾,http://seputu.com/biji6/328.html
阴山古楼 第四章 变故,http://seputu.com/biji6/329.html
阴山古楼 第五章 巡山,http://seputu.com/biji6/330.html
阴山古楼 第六章 水牛头沟,http://seputu.com/biji6/331.html
阴山古楼 第七章 古坟,http://seputu.com/biji6/332.html
阴山古楼 第八章 老头,http://seputu.com/biji6/333.html
阴山古楼 第九章 盘马老爹,http://seputu.com/biji6/334.html
阴山古楼 第十章 坐下来谈,http://seputu.com/biji6/335.html
阴山古楼 第十一章 味道,http://seputu.com/biji6/336.html
阴山古楼 第十二章 盘马的回忆,http://seputu.com/biji6/337.html
盗墓笔记7 第一章 拍卖,http://seputu.com/biji7/388.html
盗墓笔记7 第二章 霍霍霍霍（一）,http://seputu.com/biji7/389.html
盗墓笔记7 第二章 霍霍霍霍（二）,http://seputu.com/biji7/390.html
盗墓笔记7 第三章 收藏界的盛宴,http://seputu.com/biji7/391.html
盗墓笔记7 第四章 回忆（上）,http://seputu.com/biji7/392.html
盗墓笔记7 第五章 回忆（下）,http://seputu.com/biji7/393.html
盗墓笔记7 第六章 点天灯,http://seputu.com/biji7/394.html
盗墓笔记7 第七章 大闹天宫,http://seputu.com/biji7/395.html
盗墓笔记7 第八章 霍秀秀,http://seputu.com/biji7/396.html
盗墓笔记7 第九章 样式雷（上）,http://seputu.com/biji7/397.html
盗墓笔记7 第十章 奇怪的形容,http://seputu.com/biji7/398.html
盗墓笔记7 第十一章 考古队、楼和镜子,http://seputu.com/biji7/399.html
盗墓笔记7 第十二章 似是故人来,http://seputu.com/biji7/400.html
盗墓笔记8 第一章（一）,http://seputu.com/biji8/454.html
盗墓笔记8 第一章（二）,http://seputu.com/biji8/455.html
盗墓笔记8 第二章（一）,http://seputu.com/biji8/456.html
盗墓笔记8 第二章（二）,http://seputu.com/biji8/457.html
盗墓笔记8 第三章（一）,http://seputu.com/biji8/458.html
盗墓笔记8 第三章（二）,http://seputu.com/biji8/459.html
盗墓笔记8 第四章（一）,http://seputu.com/biji8/460.html
盗墓笔记8 第四章（二）,http://seputu.com/biji8/461.html
盗墓笔记8 第五章（二）,http://seputu.com/biji8/462.html
盗墓笔记8 第五章（一）,http://seputu.com/biji8/463.html
盗墓笔记8 第六章（一）,http://seputu.com/biji8/464.html
盗墓笔记8 第六章（二）,http://seputu.com/biji8/465.html
盗墓笔记8 第七章（一）,http://seputu.com/biji8/466.html
盗墓笔记8 第七章（二）,http://seputu.com/biji8/467.html
盗墓笔记8 第八章（一）,http://seputu.com/biji8/468.html
盗墓笔记8 第八章（二）,http://seputu.com/biji8/469.html
盗墓笔记8 第九章（一）,http://seputu.com/biji8/470.html
盗墓笔记8 第九章（二）,http://seputu.com/biji8/471.html
盗墓笔记8 第十章（一）,http://seputu.com/biji8/472.html
盗墓笔记8 第十章（二）,http://seputu.com/biji8/473.html
盗墓笔记8 第十一章（一）,http://seputu.com/biji8/474.html
藏海花 第一章 起源,http://seputu.com/zanghaihua/591.html
藏海花 第二章 第一件怪事（上）,http://seputu.com/zanghaihua/592.html
藏海花 第三章 第一件怪事（下） ,http://seputu.com/zanghaihua/593.html
藏海花 第四章 第二件怪事,http://seputu.com/zanghaihua/594.html
藏海花 第五章 轮回的开端(1),http://seputu.com/zanghaihua/595.html
藏海花 第五章 轮回的开端(2) - 盗墓笔记,http://seputu.com/zanghaihua/596.html
藏海花 第六章 命运的重启(1) - 盗墓笔记,http://seputu.com/zanghaihua/597.html
昆仑狼窟 第一章 失踪_盗墓笔记9在线阅读_盗墓笔记全集,http://seputu.com/zanghaihua/704.html
昆仑狼窟 第十五章 密谈_盗墓笔记9在线阅读_盗墓笔记全集,http://seputu.com/zanghaihua/705.html
昆仑狼窟 第十六章 袭击_盗墓笔记9在线阅读_盗墓笔记全集,http://seputu.com/zanghaihua/706.html
无声之城 第一章 祖宅_盗墓笔记9在线阅读_盗墓笔记全集,http://seputu.com/zanghaihua/777.html
无声之城 第二章 出逃_盗墓笔记9在线阅读_盗墓笔记全集,http://seputu.com/zanghaihua/778.html
无声之城 第五章 张博士_盗墓笔记9在线阅读_盗墓笔记全集,http://seputu.com/zanghaihua/779.html
巫山妖棺 第一章 接应驼队_盗墓笔记9在线阅读_盗墓笔记全集,http://seputu.com/zanghaihua/866.html
巫山妖棺 第二章 钥匙_盗墓笔记9在线阅读_盗墓笔记全集,http://seputu.com/zanghaihua/867.html
巫山妖棺 第三章 暗流涌动_盗墓笔记9在线阅读_盗墓笔记全集,http://seputu.com/zanghaihua/868.html
巫山妖棺 第四章 夜探祖宅(上)_盗墓笔记9在线阅读_盗墓笔记全集,http://seputu.com/zanghaihua/869.html
巫山妖棺 第五章 夜探祖宅(中)_盗墓笔记9在线阅读_盗墓笔记全集,http://seputu.com/zanghaihua/870.html
盗墓笔记9大结局 第二章,http://seputu.com/zanghaihua/948.html
南派三叔-南派三叔作品,http://seputu.com/hesui/553.html
盗墓笔记 贺岁篇 起源,http://seputu.com/hesui/554.html
盗墓笔记 贺岁篇 棺材,http://seputu.com/hesui/555.html
盗墓笔记 贺岁篇 往事,http://seputu.com/hesui/556.html
盗墓笔记 贺岁篇 移棺,http://seputu.com/hesui/557.html
盗墓笔记 贺岁篇 错误,http://seputu.com/hesui/558.html
盗墓笔记 贺岁篇 开棺,http://seputu.com/hesui/559.html
盗墓笔记 贺岁篇 乾坤,http://seputu.com/hesui/560.html
盗墓笔记 贺岁篇 里面,http://seputu.com/hesui/561.html
盗墓笔记 贺岁篇 黑水,http://seputu.com/hesui/562.html
盗墓笔记 贺岁篇 深渊,http://seputu.com/hesui/563.html
盗墓笔记 贺岁篇 螺蛳,http://seputu.com/hesui/564.html
盗墓笔记 贺岁篇 商量,http://seputu.com/hesui/565.html
盗墓笔记 贺岁篇 小溪,http://seputu.com/hesui/566.html
盗墓笔记 贺岁篇 影子,http://seputu.com/hesui/567.html
盗墓笔记 贺岁篇 杀杀,http://seputu.com/hesui/568.html
盗墓笔记 贺岁篇 窥探,http://seputu.com/hesui/569.html
盗墓笔记 贺岁篇 二叔,http://seputu.com/hesui/570.html
盗墓笔记 贺岁篇 阿琴,http://seputu.com/hesui/571.html
盗墓笔记 贺岁篇 传说,http://seputu.com/hesui/572.html
盗墓笔记 贺岁篇 石灰,http://seputu.com/hesui/573.html
盗墓笔记 贺岁篇 族谱,http://seputu.com/hesui/574.html
盗墓笔记 贺岁篇 安氏,http://seputu.com/hesui/575.html
盗墓笔记 贺岁篇 大雨,http://seputu.com/hesui/576.html
盗墓笔记 贺岁篇 物体,http://seputu.com/hesui/577.html
盗墓笔记 贺岁篇 死亡,http://seputu.com/hesui/578.html
盗墓笔记 贺岁篇 目的,http://seputu.com/hesui/579.html
盗墓笔记 贺岁篇 设局,http://seputu.com/hesui/580.html
盗墓笔记 贺岁篇 猎物,http://seputu.com/hesui/581.html
盗墓笔记 贺岁篇 真相,http://seputu.com/hesui/582.html
盗墓笔记 贺岁篇 秘密,http://seputu.com/hesui/583.html
盗墓笔记 贺岁篇 尾声,http://seputu.com/hesui/584.html
盗墓笔记 贺岁篇 后记,http://seputu.com/hesui/585.html
《盗墓笔记》电视剧启动 吴秀波陈坤疑将参演,http://seputu.com/hesui/586.html
盗墓笔记电视剧来了！胡歌演男主角,http://seputu.com/hesui/587.html
【最炫盗墓风】盗墓笔记X最炫民族风X爱杀宝贝ED.,http://seputu.com/hesui/588.html
《盗墓笔记》带你探寻云顶天宫,http://seputu.com/hesui/589.html
《盗墓笔记》电影版人物表,http://seputu.com/hesui/590.html
《盗墓笔记》中真实存在的27件奇葩物,http://seputu.com/hesui/990.html
古代人的“盗墓笔记”,http://seputu.com/hesui/991.html
《盗墓笔记》烂成渣http://seputu.com/秦岭神树,http://seputu.com/hesui/992.html
盗墓笔记（另类）.mp3,http://seputu.com/hesui/993.html
盗墓笔记重启  第一章 南京储物柜,http://seputu.com/daomubijichongqi/994.html
盗墓笔记重启 ·第二章 废弃的气象站,http://seputu.com/daomubijichongqi/996.html
盗墓笔记重启 第三章 三叔的尸体,http://seputu.com/daomubijichongqi/997.html
盗墓笔记重启  第四章 雷声,http://seputu.com/daomubijichongqi/998.html
盗墓笔记重启 第五章 杨大广,http://seputu.com/daomubijichongqi/999.html
盗墓笔记重启 第六章 听雷者,http://seputu.com/daomubijichongqi/1000.html
 盗墓笔记全集(周建龙版） （全集 共314集）,http://seputu.com/daomubijichongqi/1001.html
